cwe_id,cwe_example_1,cwe_example_2,cwe_example_3,cwe_example_4,cwe_example_5,cwe_example_6,cwe_example_7
CWE-401,"char* getBlock(int fd) {
    char* buf = (char*) malloc(BLOCK_SIZE);

    if (!buf) {
        return NULL;
    }
    if (read(fd, buf, BLOCK_SIZE) != BLOCK_SIZE) {
+       free(buf);
        return NULL;
    }
    return buf;
}",,,,,,
CWE-772,"SqlConnection conn = new SqlConnection(connString);
SqlCommand cmd = new SqlCommand(queryString);
cmd.Connection = conn;
conn.Open();
SqlDataReader rdr = null;
try {
-   rdr = cmd.ExecuteReader();
+   using (rdr = cmd.ExecuteReader())
+   {
        HarvestResults(rdr);
+   }
} catch (Exception ex) {
    // Handle the exception
} finally {
+   rdr?.Close(); // Close the SqlDataReader using null conditional operator
    conn.Close(); // Close the SqlConnection
}",,"int decodeFile(char* fName) {
  char buf[BUF_SZ];
- FILE* f = fopen(fName, ""r"");
+ FILE* f = NULL;
  
+ f = fopen(fName, ""r"");
  if (!f) {
    printf(""cannot open %s\n"", fName);
    return DECODE_FAIL;
  } else {
    while (fgets(buf, BUF_SZ, f)) {
      if (!checkChecksum(buf)) {
+      fclose(f); 
        return DECODE_FAIL;
      } else {
        decodeBlock(buf);
      }
    }
  }
  
  fclose(f); // Close the file handle after the loop finishes
  return DECODE_SUCCESS;
}
",,,,
CWE-617,"String email = request.getParameter(""email_address"");
- assert email != null;
+ if (email == null) {
+     // Handle the case where email is not provided
+     // For example, show an error message or set a default value
+     email = """";
+ }",,,,,,
CWE-269,"seteuid(0);
/* do some stuff */
- seteuid(getuid());
+ seteuid(geteuid());",,,,,,
CWE-120,"- char last_name[20];
+ char last_name[256];
printf (""Enter your last name: "");
- scanf (""%s"", last_name);
+ scanf (""%255s"", last_name);","void manipulate_string(char* string) {
- char buf[24];
+ char buf[256];
- strcpy(buf, string);
+ strncpy(buf, string, sizeof(buf) - 1);
  ...
}","char buf[24];
printf(""Please enter your name and press <Enter>\n"");
- gets(buf);
+ fgets(buf, sizeof(buf), stdin);
...
}","...
struct hostent *clienthp;
char hostname[MAX_LEN];

// create server socket, bind to server address and listen on socket
...

// accept client connections and process requests
int count = 0;
for (count = 0; count < MAX_CONNECTIONS; count++) {

    int clientlen = sizeof(struct sockaddr_in);
    int clientsocket = accept(serversocket, (struct sockaddr *)&clientaddr, &clientlen);

    if (clientsocket >= 0) {
        clienthp = gethostbyaddr((char*) &clientaddr.sin_addr.s_addr, sizeof(clientaddr.sin_addr.s_addr), AF_INET);
        
        // Check the length of the hostname before copying
+       if (strlen(clienthp->h_name) >= MAX_LEN) {
+           logOutput(""Hostname exceeds maximum length"");
+       } else {
+           strncpy(hostname, clienthp->h_name, MAX_LEN - 1);
+           hostname[MAX_LEN - 1] = '\0'; // Ensure null-termination
+           logOutput(""Accepted client connection from host "", hostname);
+       }
        
        // process client request
        ...
        close(clientsocket);
    }
}
close(serversocket);

...",,,
CWE-415,"char* ptr = (char*)malloc (SIZE);
...
if (abrt) {
-   free(ptr);
+   ptr = NULL; // Set the pointer to NULL instead of freeing
}
...
if (ptr != NULL) {
    free(ptr); // Check if the pointer is not NULL before freeing
}","#include <stdio.h>
#include <unistd.h>
#define BUFSIZE1 512
#define BUFSIZE2 ((BUFSIZE1/2) - 8)

int main(int argc, char **argv) {
    char *buf1R1;
    char *buf2R1;
    char *buf1R2;
    buf1R1 = (char *) malloc(BUFSIZE2);
    buf2R1 = (char *) malloc(BUFSIZE2);
    free(buf1R1);
    free(buf2R1);
+   buf1R1 = NULL; // Set the pointer to NULL after freeing
    buf1R2 = (char *) malloc(BUFSIZE1);
    strncpy(buf1R2, argv[1], BUFSIZE1-1);
    free(buf2R1);
+   buf2R1 = NULL; // Set the pointer to NULL after freeing
    free(buf1R2);
}",,,,,
CWE-835,"int processMessagesFromServer(char *hostaddr, int port) {
...
int servsock;
int connected;
struct sockaddr_in servaddr;

// create socket to connect to server
servsock = socket( AF_INET, SOCK_STREAM, 0);
memset( &servaddr, 0, sizeof(servaddr));
servaddr.sin_family = AF_INET;
servaddr.sin_port = htons(port);
servaddr.sin_addr.s_addr = inet_addr(hostaddr);

// initialize number of attempts counter
int count = 0;

do {

+   // break the loop if the maximum number of attempts is reached
+   if (count >= MAX_ATTEMPTS) {
+       break;
+   }

    // establish connection to server
    connected = connect(servsock, (struct sockaddr *)&servaddr, sizeof(servaddr));

    // increment counter
    count++;

    // if connected then read and process messages from server
    if (connected > -1) {

        // read and process messages
        ...
    }

    // keep trying to establish connection to the server
    // up to a maximum number of attempts

} while (connected < 0);

// close socket and return success or failure
...
}",,,,,,
CWE-295,"if ((cert = SSL_get_peer_certificate(ssl)) && host) {
    foo = SSL_get_verify_result(ssl);

-   if ((X509_V_OK == foo) || (X509_V_ERR_SELF_SIGNED_CERT_IN_CHAIN == foo)) {
+   if ((X509_V_OK == foo) && verifyCertificate(cert, host)) {
        // certificate looks good, host can be trusted
        // ...
    }
}","if (cert = SSL_get_peer_certificate(ssl)) {
      foo = SSL_get_verify_result(ssl);
-     if ((X509_V_OK == foo) || (X509_V_ERR_CERT_HAS_EXPIRED == foo))
+    if (X509_V_OK == foo && !is_certificate_expired(cert))
 
       // do stuff
}
","if (cert = SSL_get_peer_certificate(ssl)) {
+    int verify_result = SSL_get_verify_result(ssl);
+    if (verify_result == X509_V_OK) {
     // got a certificate, do secret things

+    } else {
+        // Certificate verification failed, handle accordingly
+    }
}
",,,,
CWE-674,"void do_something_recursive(int flg)
{
-   if (flg) { do_something_recursive(flg); }
+   if (flg) {
+       // Do some real work here
+       flg = 0; // Modify value of flg on done condition
+       do_something_recursive(flg);
+   }
}",,,,,,
CWE-404,"int decodeFile(char* fName) {
    char buf[BUF_SZ];
    FILE* f = fopen(fName, ""r"");
    if (!f) {
        printf(""cannot open %s\n"", fName);
        return DECODE_FAIL;
    }
    else {
        while (fgets(buf, BUF_SZ, f)) {
            if (!checkChecksum(buf)) {
-               return DECODE_FAIL;
+               fclose(f);
+               return DECODE_FAIL;
            }
            else {
                decodeBlock(buf);
            }
        }
+       fclose(f);
    }
    return DECODE_SUCCESS;
}
","class A {
  void foo();
};

void A::foo() {
-  int* ptr;
-  ptr = (int*)malloc(sizeof(int));
-  delete ptr;
+  int* ptr = new int;
+  delete ptr;
}
","class A {
  void foo(bool);
};

void A::foo(bool heap) {
-  int localArray[2] = { 11, 22 };
-  int* p = localArray;
+  int* p;
  if (heap) {
    p = new int[2];
  } else {
    p = nullptr;
  }
+  if (heap) {
+    delete[] p;
+  } else {
+    delete p;
+  }
}",,,,
CWE-78,"int main(int argc, char** argv) {
-   char cmd[CMD_MAX] = ""/usr/bin/cat "";
+   char cmd[CMD_MAX + 12] = ""/usr/bin/cat "";
+   char arg[CMD_MAX];
+   strncpy(arg, argv[1], CMD_MAX - 1);
+   arg[CMD_MAX - 1] = '\0';
+   strncat(cmd, arg, CMD_MAX - 1);
    system(cmd);
}
",,,,,,
CWE-369,"double divide(double x, double y){
-   return x/y;
+   if (0 == y){
+       throw DivideByZero;
+   }
+   return x/y;
}","int SafeDivision(int x, int y) {
+    try {
        return (x / y);
+    }
+    catch (System.DivideByZeroException dbz) {
+       System.Console.WriteLine(""Division by zero attempted!"");
+       return 0;
+    }
}
",,,,,
CWE-22,"String path = getInputPath();
if (isPathValid(path)) {
    File f = new File(path);
    f.delete();
}

boolean isPathValid(String path) {
+   File canonicalFile;
+   try {
+       canonicalFile = new File(""/safe_dir"").getCanonicalFile();
+   } catch (IOException e) {
+       // Handle the exception
+       return false;
+   }
+   File inputFile;
+   try {
+       inputFile = new File(path).getCanonicalFile();
+   } catch (IOException e) {
+       // Handle the exception
+       return false;
+   }
+   return inputFile.toPath().startsWith(canonicalFile.toPath());
}
",,,,,,
CWE-908,"char str[20];
+ strcpy(str, """");
strcat(str, ""hello world"");
printf(""%s"", str);
","char str[20];
+ memset(str, 0, sizeof(str));  // Initialize str with null terminators
strcat(str, ""hello world"");
printf(""%s"", str);",,,,,
CWE-285,"function runEmployeeQuery($dbName, $name){
+   // Add an authorization check to validate the user's access rights
+   if (!isAuthorized($name)) {
+       die(""Unauthorized access"");
+   }
  
    mysql_select_db($dbName,$globalDbHandle) or die(""Could not open Database"".$dbName);
    // Use a prepared statement to avoid CWE-89
    $preparedStatement = $globalDbHandle->prepare('SELECT * FROM employees WHERE name = :name');
    $preparedStatement->execute(array(':name' => $name));
    return $preparedStatement->fetchAll();
}

/.../

$employeeRecord = runEmployeeQuery('EmployeeDB',$_GET['EmployeeName']);",,,,,,
CWE-74,"$userName = $_POST[""user""];
- $command = 'ls -l /home/' . $userName;
+ $escapedUserName = escapeshellarg($userName);
+ $command = 'ls -l /home/' . $escapedUserName;
system($command);
",,,,,,
CWE-134,"#include <stdio.h>

void printWrapper(const char *string) {
  printf(string);
}

int main(int argc, char **argv) {
- char buf[5012];
- memcpy(buf, argv[1], 5012);
- printWrapper(argv[1]);
+ if (argc >= 2) {
+     printWrapper(argv[1]);
+ }
  return 0;
}
","int main(int argc, char **argv) {
- char buf[128];
- snprintf(buf, 128, argv[1]);
+ if (argc >= 2) {
+     char buf[128];
+     strncpy(buf, argv[1], sizeof(buf)-1);
+     buf[sizeof(buf)-1] = '\0';
+ }
  return 0;
}",,,,,
CWE-77,"int main(int argc, char** argv) {
-    char cmd[CMD_MAX] = ""/usr/bin/cat "";
-    strcat(cmd, argv[1]);
+    if (argc != 2) {
+        printf(""Usage: %s <filename>\n"", argv[0]);
+        return 1;
+    }
+    
+    // Validate the input filename to ensure it doesn't contain any malicious characters or sequences
+    const char* filename = argv[1];
+    // Add any necessary validation checks here based on your specific requirements
+
+    // Construct the command using a safe method, such as snprintf, to avoid buffer overflow
+    char cmd[CMD_MAX];
+    snprintf(cmd, CMD_MAX, ""/usr/bin/cat %s"", filename);

    // Use system() to execute the command
    system(cmd);

    return 0;
}","#include <stdio.h>
#include <unistd.h>

int main(int argc, char **argv) {
-    char cat[] = ""cat "";
-    char *command;
-    size_t commandLength;
+    const char *cat = ""cat "";
+    const char *filename;

-    commandLength = strlen(cat) + strlen(argv[1]) + 1;
-    command = (char *) malloc(commandLength);
-    strncpy(command, cat, commandLength);
-    strncat(command, argv[1], (commandLength - strlen(cat)) );
+    if (argc != 2) {
+        printf(""Usage: %s <filename>\n"", argv[0]);
+        return 1;
+    }
+    
+    // Validate the input filename to ensure it doesn't contain any malicious characters or sequences
+    filename = argv[1];
+    // Add any necessary validation checks here based on your specific requirements

-    system(command);
+    execl(""/bin/cat"", ""cat"", filename, (char *) NULL);

    return 0;
}",,,,,
CWE-287,"my $q = new CGI;

if ($q->cookie('loggedin') ne ""true"") {
-   if (! AuthenticateUser($q->param('username'), $q->param('password'))) {
+   if (! $q->cookie('loggedin') || ! $q->cookie('user')) {
+       ExitError(""Error: you need to log in first"");
+   }
+   elsif (! AuthenticateUser($q->param('username'), $q->param('password'))) {
        ExitError(""Error: invalid username or password"");
    }
    else {
        # Set loggedin and user cookies.
        $q->cookie(
            -name => 'loggedin',
            -value => 'true'
        );

        $q->cookie(
            -name => 'user',
            -value => $q->param('username')
        );
    }
}

if ($q->cookie('user') eq ""Administrator"" && $q->cookie('loggedin') eq ""true"") {
    DoAdministratorTasks();
}
",,,,,,
CWE-252,"char buf[10], cp_buf[10];
- fgets(buf, 10, stdin);
+ if (fgets(buf, 10, stdin) == NULL) {
+     // Handle the error or unexpected condition
+     // (e.g., print an error message, exit the program, etc.)
+ }

- strcpy(cp_buf, buf);
+ strncpy(cp_buf, buf, sizeof(cp_buf) - 1);
+ cp_buf[sizeof(cp_buf) - 1] = '\0';
","int returnChunkSize(void *) {
    /* if chunk info is valid, return the size of usable memory,
       else, return -1 to indicate an error */
    ...
}

int main() {
    ...
-   memcpy(destBuf, srcBuf, (returnChunkSize(destBuf)-1));
+   int chunkSize = returnChunkSize(destBuf);
+   if (chunkSize > 0) {
+       size_t sizeToCopy = (chunkSize > 1) ? (chunkSize - 1) : 0;
+       memcpy(destBuf, srcBuf, sizeToCopy);
+   } else {
+       // Handle the error or unexpected condition
+       // (e.g., print an error message, exit the program, etc.)
+   }
    ...
}","buf = (char*) malloc(req_size);
- strncpy(buf, xfer, req_size);
+ if (buf != NULL) {
+     strncpy(buf, xfer, req_size);
+ } else {
+     // Handle the error or unexpected condition
+     // (e.g., print an error message, exit the program, etc.)
+ }","void host_lookup(char *user_supplied_addr){
  struct hostent *hp;
  in_addr_t *addr;
  char hostname[64];
  in_addr_t inet_addr(const char *cp);

  /*routine that ensures user_supplied_addr is in the right format for conversion */

  validate_addr_form(user_supplied_addr);
  addr = inet_addr(user_supplied_addr);
  
- hp = gethostbyaddr( addr, sizeof(struct in_addr), AF_INET);
- strcpy(hostname, hp->h_name);
+ if (addr != NULL) {
+     hp = gethostbyaddr( addr, sizeof(struct in_addr), AF_INET);
+     if (hp != NULL) {
+         strncpy(hostname, hp->h_name, sizeof(hostname) - 1);
+         hostname[sizeof(hostname) - 1] = '\0';
+     } else {
+         // Handle the error or unexpected condition
+         // (e.g., print an error message, use a default value, etc.)
+     }
+ } else {
+     // Handle the error or unexpected condition
+     // (e.g., print an error message, use a default value, etc.)
+ }
}
",,"-int f(pthread_mutex_t *mutex) {
+int f(pthread_mutex_t *mutex) {
+    int result;
+
- pthread_mutex_lock(mutex);
+    result = pthread_mutex_lock(mutex);
+    if (result != 0) {
+        // Handle the error or unexpected condition
+        // (e.g., print an error message, use a default value, etc.)
+        return result;
+    }

    /* access shared resource */

- pthread_mutex_unlock(mutex);
+    result = pthread_mutex_unlock(mutex);
+    if (result != 0) {
+        // Handle the error or unexpected condition
+        // (e.g., print an error message, use a default value, etc.)
+    }
+
+    return result;
}",
